Wavelength	scorpipo.mn	std-	std+	scorpipo.st
705	0.239250466	2.28E-01	2.50E-01	1.09E-02
706	0.240494713	2.29E-01	2.52E-01	1.10E-02
707	0.24173823	2.31E-01	2.53E-01	1.11E-02
708	0.242993414	2.32E-01	2.54E-01	0.011157988
709	0.24419415	2.33E-01	2.55E-01	1.12E-02
710	0.245360941	2.34E-01	2.57E-01	1.13E-02
711	0.246560469	2.35E-01	2.58E-01	1.14E-02
712	0.247677401	2.36E-01	2.59E-01	1.14E-02
713	0.248700634	2.37E-01	2.60E-01	1.15E-02
714	0.249571785	2.38E-01	2.61E-01	1.15E-02
715	0.250023723	2.39E-01	2.61E-01	1.14E-02
716	0.25052163	2.39E-01	2.62E-01	1.14E-02
717	0.251207799	2.40E-01	2.63E-01	1.15E-02
718	0.252519906	2.41E-01	2.64E-01	1.17E-02
719	0.254115433	2.42E-01	2.66E-01	1.20E-02
720	0.255726933	2.44E-01	2.68E-01	1.21E-02
721	0.256932616	2.45E-01	2.69E-01	1.20E-02
722	0.257791519	2.46E-01	2.70E-01	1.20E-02
723	0.258667737	2.47E-01	2.71E-01	1.21E-02
724	0.259756744	2.48E-01	2.72E-01	0.01221814
725	0.260904402	2.49E-01	2.73E-01	1.23E-02
726	0.262057394	2.50E-01	2.74E-01	1.24E-02
727	0.263172239	2.51E-01	2.76E-01	1.24E-02
728	0.264341474	2.52E-01	2.77E-01	0.01252593
729	0.265598029	2.53E-01	2.78E-01	1.26E-02
730	0.266909808	2.54E-01	2.80E-01	1.27E-02
731	0.268485427	2.56E-01	2.81E-01	1.29E-02
732	0.269901544	2.57E-01	2.83E-01	1.29E-02
733	0.271152169	2.58E-01	2.84E-01	1.30E-02
734	0.272177368	2.59E-01	2.85E-01	1.30E-02
735	0.273326367	2.60E-01	2.86E-01	1.31E-02
736	0.274522781	2.61E-01	2.88E-01	1.32E-02
737	0.27569738	2.62E-01	2.89E-01	1.32E-02
738	0.276859105	2.64E-01	2.90E-01	1.33E-02
739	0.2780267	2.65E-01	2.91E-01	1.34E-02
740	0.279139996	2.66E-01	2.93E-01	1.35E-02
741	0.280272156	2.67E-01	2.94E-01	1.35E-02
742	0.281351954	2.68E-01	2.95E-01	1.36E-02
743	0.282414198	2.69E-01	2.96E-01	1.37E-02
744	0.283520073	2.70E-01	2.97E-01	1.37E-02
745	0.284562647	2.71E-01	2.98E-01	1.38E-02
746	0.285594881	2.72E-01	2.99E-01	1.39E-02
747	0.286581188	2.73E-01	3.01E-01	0.013935525
748	0.287552893	2.74E-01	3.02E-01	1.40E-02
749	0.288549662	2.74E-01	3.03E-01	1.41E-02
750	0.289566398	2.75E-01	3.04E-01	1.41E-02
751	0.290570527	2.76E-01	3.05E-01	1.42E-02
752	0.29155454	2.77E-01	3.06E-01	1.43E-02
753	0.29252249	2.78E-01	3.07E-01	1.43E-02
754	0.293481737	2.79E-01	3.08E-01	1.44E-02
755	0.294477642	2.80E-01	3.09E-01	1.44E-02
756	0.295270205	2.81E-01	3.10E-01	1.44E-02
757	0.295682758	2.81E-01	3.10E-01	1.43E-02
758	0.295414001	2.81E-01	3.09E-01	1.40E-02
759	0.296362996	2.82E-01	3.10E-01	1.40E-02
760	0.299459547	2.85E-01	3.14E-01	1.47E-02
761	0.299993724	2.85E-01	3.15E-01	1.48E-02
762	0.30099538	2.86E-01	3.16E-01	1.49E-02
763	0.302240908	2.87E-01	3.17E-01	1.50E-02
764	0.303345859	2.88E-01	3.19E-01	1.52E-02
765	0.304349452	2.89E-01	3.20E-01	1.52E-02
766	0.305239648	2.90E-01	3.20E-01	1.52E-02
767	0.306081027	2.91E-01	3.21E-01	1.53E-02
768	0.307030708	2.92E-01	3.22E-01	1.53E-02
769	0.308015257	2.93E-01	3.23E-01	1.53E-02
770	0.309036523	2.94E-01	3.24E-01	1.54E-02
771	0.309992164	2.95E-01	3.25E-01	1.55E-02
772	0.310959399	2.95E-01	3.26E-01	1.55E-02
773	0.311902732	2.96E-01	3.27E-01	1.56E-02
774	0.312925577	2.97E-01	3.29E-01	1.57E-02
775	0.31386742	2.98E-01	3.30E-01	1.57E-02
776	0.314784199	2.99E-01	3.31E-01	1.58E-02
777	0.315710425	3.00E-01	3.32E-01	1.58E-02
778	0.316593319	3.01E-01	3.32E-01	1.59E-02
779	0.317518532	3.02E-01	3.33E-01	1.60E-02
780	0.318500131	3.02E-01	3.35E-01	1.61E-02
781	0.319408804	3.03E-01	3.36E-01	1.61E-02
782	0.320347816	3.04E-01	3.37E-01	1.62E-02
783	0.32133919	3.05E-01	3.38E-01	1.62E-02
784	0.322259426	3.06E-01	3.39E-01	1.63E-02
785	0.323027819	3.07E-01	3.39E-01	1.63E-02
786	0.323783904	3.07E-01	3.40E-01	1.64E-02
787	0.32463634	3.08E-01	3.41E-01	1.65E-02
788	0.32547915	3.09E-01	3.42E-01	1.65E-02
789	0.326344907	3.10E-01	3.43E-01	1.66E-02
790	0.327235997	3.11E-01	3.44E-01	0.016652063
791	0.328258067	3.12E-01	3.45E-01	1.67E-02
792	0.329285949	3.12E-01	3.46E-01	1.68E-02
793	0.330274493	3.13E-01	3.47E-01	1.69E-02
794	0.331018507	3.14E-01	3.48E-01	1.69E-02
795	0.331865102	3.15E-01	3.49E-01	1.70E-02
796	0.332773983	3.16E-01	3.50E-01	1.71E-02
797	0.333729684	3.17E-01	3.51E-01	1.72E-02
798	0.334593654	3.17E-01	3.52E-01	1.72E-02
799	0.335432559	3.18E-01	3.53E-01	1.73E-02
800	0.336244732	3.19E-01	3.54E-01	1.73E-02
801	0.337115318	3.20E-01	3.55E-01	1.74E-02
802	0.338022649	3.21E-01	3.55E-01	1.75E-02
803	0.338969231	3.21E-01	3.57E-01	1.76E-02
804	0.340010911	3.22E-01	3.58E-01	1.76E-02
805	0.340894639	3.23E-01	3.59E-01	1.77E-02
806	0.341677547	3.24E-01	3.59E-01	1.78E-02
807	0.342470706	3.25E-01	3.60E-01	1.78E-02
808	0.343184412	3.25E-01	3.61E-01	1.79E-02
809	0.343819112	3.26E-01	3.62E-01	1.79E-02
810	0.344351143	3.26E-01	3.62E-01	1.80E-02
811	0.344661623	3.27E-01	3.63E-01	1.80E-02
812	0.344938189	3.27E-01	3.63E-01	1.80E-02
813	0.345231086	3.27E-01	3.63E-01	1.80E-02
814	0.345789552	3.28E-01	3.64E-01	1.80E-02
815	0.346624583	3.29E-01	3.65E-01	1.81E-02
816	0.347643286	3.29E-01	3.66E-01	1.82E-02
817	0.348840415	3.31E-01	3.67E-01	0.018275324
818	0.350187004	3.32E-01	3.69E-01	1.84E-02
819	0.351209074	3.33E-01	3.70E-01	1.85E-02
820	0.35164541	3.33E-01	3.70E-01	1.86E-02
821	0.352186859	3.34E-01	3.71E-01	1.86E-02
