Wavelength	cheat.mn	std-	std+	cheat.st
778	0.212831691	1.81E-01	2.45E-01	3.20E-02
779	0.213292822	1.81E-01	2.45E-01	3.21E-02
780	0.213700041	1.82E-01	2.46E-01	3.21E-02
781	0.21419245	1.82E-01	2.46E-01	3.22E-02
782	0.21465379	1.82E-01	2.47E-01	3.22E-02
783	0.215118676	1.83E-01	2.47E-01	3.23E-02
784	0.215565145	1.83E-01	2.48E-01	3.23E-02
785	0.216011867	1.84E-01	2.48E-01	3.24E-02
786	0.216449738	1.84E-01	2.49E-01	3.24E-02
787	0.216860205	1.84E-01	2.49E-01	3.25E-02
788	0.217241615	1.85E-01	2.50E-01	3.25E-02
789	0.217664748	1.85E-01	2.50E-01	3.26E-02
790	0.218145102	1.85E-01	2.51E-01	3.27E-02
791	0.218577757	1.86E-01	2.51E-01	3.27E-02
792	0.219033986	1.86E-01	2.52E-01	3.28E-02
793	0.219498336	1.87E-01	2.52E-01	3.29E-02
794	0.219912052	1.87E-01	2.53E-01	0.032898273
795	0.220345259	1.87E-01	2.53E-01	3.30E-02
796	0.220793545	1.88E-01	2.54E-01	3.30E-02
797	0.221256688	1.88E-01	2.54E-01	3.31E-02
798	0.221650258	1.89E-01	2.55E-01	3.31E-02
799	0.222068176	1.89E-01	2.55E-01	3.32E-02
800	0.222531527	1.89E-01	2.56E-01	3.32E-02
801	0.222964704	1.90E-01	2.56E-01	3.33E-02
802	0.223389521	1.90E-01	2.57E-01	3.33E-02
803	0.223821416	1.90E-01	2.57E-01	3.34E-02
804	0.22436671	1.91E-01	2.58E-01	3.35E-02
805	0.22477816	1.91E-01	2.58E-01	3.35E-02
806	0.225117087	1.92E-01	2.59E-01	3.36E-02
807	0.225483745	1.92E-01	2.59E-01	0.033624567
808	0.22590898	1.92E-01	2.60E-01	3.37E-02
809	0.2263197	1.93E-01	2.60E-01	3.37E-02
810	0.226684779	1.93E-01	2.60E-01	3.37E-02
811	0.22702913	1.93E-01	2.61E-01	3.38E-02
812	0.227409095	1.94E-01	2.61E-01	0.033777017
813	0.227820501	1.94E-01	2.62E-01	3.38E-02
814	0.228084713	1.94E-01	2.62E-01	3.38E-02
815	0.228471056	1.95E-01	2.62E-01	3.38E-02
816	0.228912085	1.95E-01	2.63E-01	3.39E-02
817	0.229358599	1.95E-01	2.63E-01	3.40E-02
818	0.229800001	1.96E-01	2.64E-01	3.40E-02
819	0.230240062	1.96E-01	2.64E-01	0.034138449
820	0.230648518	1.96E-01	2.65E-01	0.034235705
821	0.230993643	1.97E-01	2.65E-01	3.42E-02
