Wavelength	Mean	Std +	Std -
1018	0.218134069	0.254578025	0.181690113
1019	0.218423207	0.254841831	0.182004583
1020	0.218633552	0.255046751	0.182220353
1021	0.218835034	0.255244588	0.182425481
1022	0.219062517	0.255450237	0.182674797
1023	0.21929231	0.255664168	0.182920452
1024	0.219547379	0.255919253	0.183175505
1025	0.219781345	0.256159753	0.183402936
1026	0.220008931	0.256402182	0.18361568
1027	0.220278207	0.25666351	0.183892904
1028	0.220545586	0.256882373	0.1842088
1029	0.220783655	0.257089887	0.184477423
1030	0.221076483	0.2573864	0.184766566
1031	0.221369172	0.257716406	0.185021938
1032	0.22152731	0.257903931	0.18515069
1033	0.221682103	0.258063277	0.185300929
1034	0.221918759	0.258311808	0.185525709
1035	0.222170448	0.258549531	0.185791365
1036	0.222457034	0.258786741	0.186127328
1037	0.222744034	0.259041511	0.186446558
1038	0.222999724	0.259306157	0.186693291
1039	0.22320269	0.259519065	0.186886314
1040	0.223477897	0.25979491	0.187160883
1041	0.22378669	0.260104614	0.187468765
1042	0.224028828	0.260359461	0.187698194
1043	0.224246931	0.2605896	0.187904262
